index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
44,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,128918.0,128918.00000,,,,,
45,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,132412.0,132412.00000,,,,,
46,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,166173.0,166173.00000,,,,,
47,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,215055.0,215055.00000,,,,,
48,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,74920.0,74920.00000,,,,,
49,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,185101.0,185101.00000,,,,,
50,HWF_0008,Nursing personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5321,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,110105.0,110105.00000,,,,,
51,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,82726.0,82726.00000,,,,,
52,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,88796.0,88796.00000,,,,,
53,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,88996.0,88996.00000,,,,,
54,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,90489.0,90489.00000,,,,,
55,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,92531.0,92531.00000,,,,,
56,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2013.0,2013,,AFR,Africa,,NGA,2013,2013,Nigeria,,,,,101275.0,101275.00000,,,,,
57,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,141275.0,141275.00000,,,,,
58,HWF_0009,Midwifery personnel (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5322,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,120870.0,120870.00000,,,,,
59,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,0.188,0.18800,,,,,Includes Dentists .
60,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,0.152,0.15200,,,,,Includes Dentists .
61,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,0.157,0.15700,,,,,Includes Dentists .
62,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,0.176,0.17600,,,,,Includes Dentists .
63,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,0.171,0.17100,,,,,Includes Dentists .
64,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,0.16,0.16000,,,,,Includes Dentists .
65,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,0.527,0.52700,,,,,"Includes Dentists.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
66,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,0.219,0.21900,,,,,National Reporting Instrument (NRI) 2018. NMCN.
67,HWF_0010,Dentists (per 10 000 population),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5323,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,0.222,0.22200,,,,,
68,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,,,,2482.0,2482.00000,,,,,Includes Dentists .
69,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,2113.0,2113.00000,,,,,Includes Dentists .
70,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,,,,2241.0,2241.00000,,,,,Includes Dentists .
71,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,2571.0,2571.00000,,,,,Includes Dentists .
72,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,2571.0,2571.00000,,,,,Includes Dentists .
73,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,,,,2464.0,2464.00000,,,,,Includes Dentists .
74,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,8359.0,8359.00000,,,,,"Includes Dentists.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
75,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2016.0,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,4081.0,4081.00000,,,,,National Reporting Instrument (NRI) 2018. NMCN.
76,HWF_0011,Dentists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5324,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,4358.0,4358.00000,,,,,
77,HWF_0012,Dental Assistants and Therapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5325,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,1012.0,1012.00000,,,,,Includes Dental Assistants and Therapists .
78,HWF_0012,Dental Assistants and Therapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5325,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,705.0,705.00000,,,,,Includes Dental Assistants and Therapists .
79,HWF_0012,Dental Assistants and Therapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5325,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,3361.0,3361.00000,,,,,"Includes Dental assistants.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
80,HWF_0012,Dental Assistants and Therapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5325,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,6151.0,6151.00000,,,,,
81,HWF_0013,Dental Prosthetic Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5326,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,505.0,505.00000,,,,,Includes Dental Prosthetic Technicians .
82,HWF_0013,Dental Prosthetic Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5326,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,505.0,505.00000,,,,,Includes Dental Prosthetic Technicians .
83,HWF_0013,Dental Prosthetic Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5326,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,6.0,6.00000,,,,,
84,HWF_0016,Pharmaceutical Technicians and Assistants (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5329,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,5483.0,5483.00000,,,,,Includes Pharmaceutical Technicians and Assistants .
85,HWF_0016,Pharmaceutical Technicians and Assistants (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5329,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,5483.0,5483.00000,,,,,Includes Pharmaceutical Technicians and Assistants .
86,HWF_0016,Pharmaceutical Technicians and Assistants (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5329,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,11948.0,11948.00000,,,,,"Includes Pharmaceutical assistants.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
87,HWF_0016,Pharmaceutical Technicians and Assistants (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5329,PUBLISHED,Published,,2011.0,2011,,AFR,Africa,,NGA,2011,2011,Nigeria,,,,,1645.0,1645.00000,,,,,Includes Pharmaceutical Technicians and Assistants .
88,HWF_0016,Pharmaceutical Technicians and Assistants (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5329,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,5793.0,5793.00000,,,,,
89,HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5330,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,3441.0,3441.00000,,,,,Includes Environmental and Occupational Health and Hygiene Professionals .
90,HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5330,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,4280.0,4280.00000,,,,,Includes Environmental and Occupational Health and Hygiene Professionals .
91,HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5330,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,4280.0,4280.00000,,,,,Includes Environmental and Occupational Health and Hygiene Professionals .
92,HWF_0017,Environmental and Occupational Health and Hygiene Professionals  (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5330,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,13238.0,13238.00000,,,,,"Includes Sanitarian.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
93,HWF_0019,Medical and Pathology Laboratory scientists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5332,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,12703.0,12703.00000,,,,,Includes Medical and Pathology Laboratory scientists .
94,HWF_0019,Medical and Pathology Laboratory scientists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5332,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,12703.0,12703.00000,,,,,Includes Medical and Pathology Laboratory scientists .
95,HWF_0019,Medical and Pathology Laboratory scientists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5332,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,26677.0,26677.00000,,,,,
96,HWF_0020,Medical and Pathology Laboratory Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5333,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,11483.0,11483.00000,,,,,Includes Medical and Pathology Laboratory Technicians .
97,HWF_0020,Medical and Pathology Laboratory Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5333,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,9980.0,9980.00000,,,,,Includes Medical and Pathology Laboratory Technicians .
98,HWF_0020,Medical and Pathology Laboratory Technicians (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5333,PUBLISHED,Published,,2018.0,2018,,AFR,Africa,,NGA,2018,2018,Nigeria,,,,,29246.0,29246.00000,,,,,
99,HWF_0021,Physiotherapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5334,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,,,,1220.0,1220.00000,,,,,Includes Physiotherapists .
100,HWF_0021,Physiotherapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5334,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,,,,1473.0,1473.00000,,,,,Includes Physiotherapists .
101,HWF_0021,Physiotherapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5334,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,,,,1473.0,1473.00000,,,,,Includes Physiotherapists .
102,HWF_0021,Physiotherapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5334,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,,,,1473.0,1473.00000,,,,,Includes Physiotherapists .
103,HWF_0021,Physiotherapists (number),http://apps.who.int/gho/data/node.wrapper.imr?x-id=5334,PUBLISHED,Published,,2010.0,2010,,AFR,Africa,,NGA,2010,2010,Nigeria,,,,,4278.0,4278.00000,,,,,"Includes Physiotherapists and related workers.  Data Source: Health workforce from census data. Minnesota Population Center. Integrated Public Use Microdata Series, International: Version 7.1. Minneapolis, MN: IPUMS, 2018. https://doi.org/10.18128/D020.V7.1"
