index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),GOVERNMENTBENEFIT (CODE),GOVERNMENTBENEFIT (DISPLAY),GOVERNMENTBENEFIT (URL),PROGRAMME (CODE),PROGRAMME (DISPLAY),PROGRAMME (URL),SUBSTANCETYPE (CODE),SUBSTANCETYPE (DISPLAY),SUBSTANCETYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,IN_PATIENT_DETOXIFICATION,In-patient detoxification,,,,,Government financing,,,,,,
11,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,IN_PATIENT_TREATMENT,In-patient treatment,,,,,Government financing,,,,,,
12,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,OUT_PATIENT_DETOXIFICATION,Out-patient detoxification,,,,,Government financing,,,,,,
13,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,OUT_PATIENT_TREATMENT,Out-patient treatment,,,,,Government financing,,,,,,
14,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,REHABILITATION,Rehabilitation,,,,,Government financing,,,,,,
15,RSUD_300,Government benefits for people with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,MONETARY_SUPPORT,Monetary support,,,,,,,,No,,,,,,
16,RSUD_300,Government benefits for people with alcohol use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,NON_MONETARY_SUPPORT,Non monetary support,,,,,,,,No,,,,,,
17,RSUD_310,Government benefits for people with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,MONETARY_SUPPORT,Monetary support,,,,,,,,No,,,,,,
18,RSUD_310,Government benefits for people with drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2521,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,NON_MONETARY_SUPPORT,Non monetary support,,,,,,,,No,,,,,,
19,RSUD_290,Hypothecated taxes to be spent on prevention and treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2575,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,,,,ALCOHOL,Alcohol,,No,,,,,,
20,RSUD_290,Hypothecated taxes to be spent on prevention and treatment for substance use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2575,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,,,,DRUGS,Drugs,,No,,,,,,
21,RSUD_280,Financing methods for treatment for drug use disorders,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2519,PUBLISHED,Published,,2014.0,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,OPIOID_AGONIST_MAINTENANCE_THERAPY,Opioid agonist maintenance therapy,,,,,No data,,,,,,
