index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,pncall3,Postnatal care visit within two days of birth (in the three years preceding the survey) (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3340,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,,,,,,,,,,WQ1,Q1 (Poorest),,10.2,10.23000,,,,,
11,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_310377,NLIS_310377,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310377,PUBLISHED,Published,,1990,1990,,AFR,1990,1990,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,52.0,52.00000,,,,,
12,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_310377,NLIS_310377,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310377,PUBLISHED,Published,,1990,1990,,AFR,1990,1990,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,49.2,49.20000,,,,,
13,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_313037,NLIS_313037,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313037,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,41.2,41.20000,,,,,
14,MDG_0000000027,Children aged <5 years stunted (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/72,NLIS_313204,NLIS_313204,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313204,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,38.0,38.00000,,,,,
15,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_311713,NLIS_311713,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=311713,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,35.1,35.10000,,,,,
16,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_313204,NLIS_313204,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313204,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,32.9,32.90000,,,,,
17,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_312381,NLIS_312381,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312381,PUBLISHED,Published,,1999,1999,,AFR,1999,1999,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,27.3,27.30000,,,,,
18,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_313157,NLIS_313157,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313157,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,24.6,24.60000,,,,,
19,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_310043,NLIS_310043,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310043,PUBLISHED,Published,,1983,1983,,AFR,1983,1983,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,22.7,22.70000,,,,,
20,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_313270,NLIS_313270,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313270,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,19.8,19.80000,,,,,
21,WHOSIS_000008,Children aged <5 years underweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/27,NLIS_313270,NLIS_313270,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313270,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,18.3,18.30000,,,,,
22,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312964,NLIS_312964,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312964,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,14.8,14.80000,,,,,
23,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313037,NLIS_313037,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313037,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,13.5,13.50000,,,,,
24,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_310377,NLIS_310377,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=310377,PUBLISHED,Published,,1990,1990,,AFR,1990,1990,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,12.6,12.60000,,,,,
25,NUTRITION_564,Children aged <5 years wasted for age (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/302,NLIS_312589,NLIS_312589,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312589,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,11.2,11.20000,,,,,
26,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312964,NLIS_312964,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312964,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,10.7,10.70000,,,,,
27,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_312964,NLIS_312964,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=312964,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,10.3,10.30000,,,,,
28,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313204,NLIS_313204,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313204,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,5.1,5.10000,,,,,
29,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313204,NLIS_313204,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313204,PUBLISHED,Published,,2013,2013,,AFR,2013,2013,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,4.8,4.80000,,,,,
30,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313157,NLIS_313157,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313157,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,3.2,3.20000,,,,,
31,WHOSIS_000009,Children aged <5 years overweight (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/74,NLIS_313157,NLIS_313157,http://apps.who.int/nutrition/landscape/mddetails.aspx?sourcecode=313157,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,2.7,2.70000,,,,,
32,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,1990,1990,,AFR,1990,1990,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,1.7,1.70000,,,,,
33,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,17.2,17.20000,,,,,
34,WHOSIS_000006,Infants exclusively breastfed for the first six months of life (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/130,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,23.3,23.33242,,,,,
35,PCV3,Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4757,,,,PUBLISHED,Published,,2015,2015,,AFR,2015,2015,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,36.0,36.00000,,,,,
36,PCV3,Pneumococcal conjugate vaccines (PCV3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4757,,,,PUBLISHED,Published,,2017,2017,,AFR,2017,2017,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
37,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1984,1984,,AFR,1984,1984,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,9.0,9.00000,,,,,
38,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1991,1991,,AFR,1991,1991,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,39.0,39.00000,,,,,
39,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,29.0,29.00000,,,,,
40,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,1998,1998,,AFR,1998,1998,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,32.0,32.00000,,,,,
41,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,29.0,29.00000,,,,,
42,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,25.0,25.00000,,,,,
43,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,42.0,42.00000,,,,,
44,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,63.0,63.00000,,,,,
45,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
46,WHS4_100,Diphtheria tetanus toxoid and pertussis (DTP3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/88,,,,PUBLISHED,Published,,2018,2018,,AFR,2018,2018,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
47,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,18.0,18.00000,,,,,
48,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,42.0,42.00000,,,,,
49,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2014,2014,,AFR,2014,2014,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,43.0,43.00000,,,,,
50,WHS4_117,Hepatitis B (HepB3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/95,,,,PUBLISHED,Published,,2016,2016,,AFR,2016,2016,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
51,WHS4_129,Hib (Hib3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/96,,,,PUBLISHED,Published,,2017,2017,,AFR,2017,2017,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
52,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1985,1985,,AFR,1985,1985,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,28.0,28.00000,,,,,
53,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1987,1987,,AFR,1987,1987,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,47.0,47.00000,,,,,
54,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1992,1992,,AFR,1992,1992,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
55,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1994,1994,,AFR,1994,1994,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,55.0,55.00000,,,,,
56,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,43.0,43.00000,,,,,
57,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,41.0,41.00000,,,,,
58,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,42.0,42.00000,,,,,
59,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2010,2010,,AFR,2010,2010,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,62.0,62.00000,,,,,
60,WHS4_543,BCG immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2442,,,,PUBLISHED,Published,,2012,2012,,AFR,2012,2012,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,51.0,51.00000,,,,,
61,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1984,1984,,AFR,1984,1984,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,8.0,8.00000,,,,,
62,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1986,1986,,AFR,1986,1986,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,21.0,21.00000,,,,,
63,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1991,1991,,AFR,1991,1991,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,42.0,42.00000,,,,,
64,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1993,1993,,AFR,1993,1993,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,28.0,28.00000,,,,,
65,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,1995,1995,,AFR,1995,1995,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,31.0,31.00000,,,,,
66,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,31.0,31.00000,,,,,
67,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2002,2002,,AFR,2002,2002,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,40.0,40.00000,,,,,
68,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,66.0,66.00000,,,,,
69,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,48.0,48.00000,,,,,
70,WHS4_544,Polio (Pol3) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2443,,,,PUBLISHED,Published,,2018,2018,,AFR,2018,2018,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,57.0,57.00000,,,,,
71,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1985,1985,,AFR,1985,1985,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,17.0,17.00000,,,,,
72,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1987,1987,,AFR,1987,1987,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,36.0,36.00000,,,,,
73,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1992,1992,,AFR,1992,1992,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,43.0,43.00000,,,,,
74,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1994,1994,,AFR,1994,1994,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,41.0,41.00000,,,,,
75,WHS8_110,Measles-containing-vaccine first-dose (MCV1) immunization coverage among 1-year-olds (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2,,,,PUBLISHED,Published,,1996,1996,,AFR,1996,1996,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,,,,,,,,,,,,,38.0,38.00000,,,,,
