index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),STARTYEAR,ENDYEAR,WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),ALCOHOLTYPE (CODE),ALCOHOLTYPE (DISPLAY),ALCOHOLTYPE (URL),NATIONALSYSTEMTYPE (CODE),NATIONALSYSTEMTYPE (DISPLAY),NATIONALSYSTEMTYPE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
11,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
12,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,...,,,,,,
13,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,FMLE,Female,,,,,,,,...,,,,,,
14,TOBACCO_0000000342,Daily users of any smokeless tobacco product (crude rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/365,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,MLE,Male,,,,,,,,...,,,,,,
15,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,3.5,,,,,,
16,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,FMLE,Female,,,,,,,,1.3,,,,,,
17,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,MLE,Male,,,,,,,,5.6,,,,,,
18,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,21.7,,,,,,
19,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,FMLE,Female,,,,,,,,12.8,,,,,,
20,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,MLE,Male,,,,,,,,29.2,,,,,,
21,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,FMLE,Female,,,,,,,,36,,,,,,
22,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,39.7,,,,,,
23,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,MLE,Male,,,,,,,,43.6,,,,,,
24,TOBACCO_0000000386,Percentage of principal display area mandated to be covered by health warnings - front and back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,0,,,,,,
25,TOBACCO_0000000387,Percentage of principal display area mandated to be covered by health warnings - front of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,30,,,,,,
26,TOBACCO_0000000388,Specific health warnings are mandated for other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
27,TOBACCO_0000000389,Number of health warnings approved by the law for other smoked tobacco packaging,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1269,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,3,,,,,,
28,TOBACCO_0000000390,Health warnings on other smoked tobacco packaging must be rotated,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
29,TOBACCO_0000000391,Percentage of principal display area mandated to be covered by health warnings - back of other smoked tobacco packaging,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,0,,,,,,
30,TOBACCO_0000000392,Health warnings appear on each other smoked tobacco package and any outside packaging and labelling used in the retail sale,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
31,TOBACCO_0000000393,Health warnings on other smoked tobacco packaging describe the harmful effects of tobacco use on health,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
32,TOBACCO_0000000394,"Font style, font size and colour of health warnings are mandated for other smoked tobacco packaging",,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
33,TOBACCO_0000000395,Health warnings on other smoked tobacco packaging must be written in the principal language(s) of the country,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
34,TOBACCO_0000000396,Health warnings on other smoked tobacco packaging must include a photograph or graphic,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
35,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,2008,,,,,,
36,TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Subnational,,,,,,
37,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,0,,,,,,
38,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,MLE,Male,,,,,,,,5.6,,,,,,
39,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,MLE,Male,,,,,,,,29.2,,,,,,
40,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,MLE,Male,,,,,,,,43.6,,,,,,
41,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,FMLE,Female,,,,,,,,1.3,,,,,,
42,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,FMLE,Female,,,,,,,,12.8,,,,,,
43,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,FMLE,Female,,,,,,,,36,,,,,,
44,TOBACCO_0000000345,Current smokers of cigarettes (youth rate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1297,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,3.5,,,,,,
45,TOBACCO_0000000346,Exposure to smoke at home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1300,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,21.7,,,,,,
46,TOBACCO_0000000347,Exposure to smoke outside home,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1301,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,39.7,,,,,,
47,TOBACCO_0000000505,Year of survey of youth,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/366,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,2008,,,,,,
48,TOBACCO_0000000506,Representativeness of youth survey,,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Subnational,,,,,,
49,TOBACCO_0000000507,Repeating interval for survey of youth (years),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/368,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,8,,,,,,
50,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
51,TOBACCO_0000000361,Access to a toll-free quit line,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1288,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
52,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
53,TOBACCO_0000000362,Smoking cessation support is available in hospitals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1243,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
54,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
55,TOBACCO_0000000363,Smoking cessation support is available in health clinics or other primary care facilities,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1263,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
56,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
57,TOBACCO_0000000364,Smoking cessation support is available in offices of health professionals,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1262,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes in some,,,,,,
58,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
59,TOBACCO_0000000365,Smoking cessation support is available in the community,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1319,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
60,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,. . .,,,,,,
61,TOBACCO_0000000366,Smoking cessation support is available in other settings,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1261,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,. . .,,,,,,
62,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
63,TOBACCO_0000000367,Nicotine replacement therapy - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1309,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
64,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
65,TOBACCO_0000000368,Nicotine replacement therapy - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1260,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
66,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
67,TOBACCO_0000000369,Bupropion - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1259,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
68,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
69,TOBACCO_0000000370,Bupropion - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1258,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
70,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
71,TOBACCO_0000000371,Varenicline - legally sold,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1256,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
72,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
73,TOBACCO_0000000372,Varenicline - place available,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1257,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,In a general store without a prescription,,,,,,
74,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
75,TOBACCO_0000000209,Fines for violations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1324,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
76,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
77,TOBACCO_0000000210,Fines on the establishment,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1325,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
78,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
79,TOBACCO_0000000211,Fines on the patron,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1326,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,Yes,,,,,,
80,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
81,TOBACCO_0000000212,Dedicated funds for enforcement,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1323,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
82,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2008,2008,,AFR,Africa,,,2008,2008,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
83,TOBACCO_0000000213,Citizen complaints and investigations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/1322,PUBLISHED,Published,,2010,2010,,AFR,Africa,,,2010,2010,,,NGA,Nigeria,,,,,,,,,,,No,,,,,,
84,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,83.9,83.90000,,,,,
85,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,NGA,Nigeria,,FMLE,Female,,,,,,,,91.4,91.40000,,,,,
86,SA_0000001412,"Abstainers (15-19 years), past 12 months (%)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2324,PUBLISHED,Published,,2001,2001,,AFR,Africa,,,2001,2001,,,NGA,Nigeria,,MLE,Male,,,,,,,,71.6,71.60000,,,,,
87,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,137,137.00000,,,,,
88,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,11,11.00000,,,,,
89,SA_0000001418,"Age-standardized DALYs, alcohol use disorders, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,MLE,Male,,,,,,,,265,265.00000,,,,,
90,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,497,497.00000,,,,,
91,SA_0000001419,"Age-standardized DALYs, breast cancer, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,258,258.00000,,,,,
92,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,MLE,Male,,,,,,,,112,112.00000,,,,,
93,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,95,95.00000,,,,,
94,SA_0000001420,"Age-standardized DALYs, colon and rectum cancers, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,79,79.00000,,,,,
95,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,609,609.00000,,,,,
96,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,MLE,Male,,,,,,,,515,515.00000,,,,,
97,SA_0000001421,"Age-standardized DALYs, diabetes mellitus, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,692,692.00000,,,,,
98,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,BTSX,Both sexes,,,,,,,,322,322.00000,,,,,
99,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,MLE,Male,,,,,,,,476,476.00000,,,,,
100,SA_0000001422,"Age-standardized DALYs, drownings, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,173,173.00000,,,,,
101,SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,MLE,Male,,,,,,,,181,181.00000,,,,,
102,SA_0000001423,"Age-standardized DALYs, falls, per 100,000",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2377,PUBLISHED,Published,,2004,2004,,AFR,Africa,,,2004,2004,,,NGA,Nigeria,,FMLE,Female,,,,,,,,107,107.00000,,,,,
