index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.1 [21.4-22.8],22.10000,21.4,22.8,,,
11,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,22.2 [21.4-22.9],22.20000,21.4,22.9,,,
12,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1983.0,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.0 [20.8-23.3],22.00000,20.8,23.3,,,
13,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1984.0,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.0 [20.9-23.2],22.00000,20.9,23.2,,,
14,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1985.0,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.1 [21.0-23.1],22.10000,21.0,23.1,,,
15,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,1986.0,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,22.1 [21.2-23.0],22.10000,21.2,23.0,,,
16,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,23.0 [22.5-23.5],23.00000,22.5,23.5,,,
17,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,23.1 [22.6-23.6],23.10000,22.6,23.6,,,
18,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,23.1 [22.7-23.6],23.10000,22.7,23.6,,,
19,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE20-PLUS,20+ years,,FMLE,Female,,,,,23.2 [22.7-23.7],23.20000,22.7,23.7,,,
20,NCD_BMI_MEANC,Mean BMI (kg/m&#xb2;) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2388,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,AGE20-PLUS,20+ years,,MLE,Male,,,,,23.0 [21.8-24.2],23.00000,21.8,24.2,,,
21,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2009.0,2009,,AFR,Africa,,NGA,2009,2009,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.2-4.5],3.80000,3.2,4.5,,,
22,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1980.0,1980,,AFR,Africa,,NGA,1980,1980,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,4.2 [3.3-5.1],4.20000,3.3,5.1,,,
23,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1993.0,1993,,AFR,Africa,,NGA,1993,1993,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.2],3.80000,3.4,4.2,,,
24,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994.0,1994,,AFR,Africa,,NGA,1994,1994,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.1],3.80000,3.4,4.1,,,
25,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,AFR,Africa,,NGA,1995,1995,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.1],3.80000,3.4,4.1,,,
26,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1996.0,1996,,AFR,Africa,,NGA,1996,1996,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.7 [3.4-4.1],3.70000,3.4,4.1,,,
27,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1997.0,1997,,AFR,Africa,,NGA,1997,1997,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.7 [3.4-4.1],3.70000,3.4,4.1,,,
28,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1988.0,1988,,AFR,Africa,,NGA,1988,1988,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.3 [3.8-4.8],4.30000,3.8,4.8,,,
29,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1989.0,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.3 [3.8-4.7],4.30000,3.8,4.7,,,
30,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1990.0,1990,,AFR,Africa,,NGA,1990,1990,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.3 [3.8-4.7],4.30000,3.8,4.7,,,
31,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1991.0,1991,,AFR,Africa,,NGA,1991,1991,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.2 [3.8-4.6],4.20000,3.8,4.6,,,
32,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.1 [3.6-4.5],4.10000,3.6,4.5,,,
33,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.1 [3.6-4.6],4.10000,3.6,4.6,,,
34,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.1 [3.6-4.6],4.10000,3.6,4.6,,,
35,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.1 [3.5-4.6],4.10000,3.5,4.6,,,
36,CHOL_04,Mean Total Cholesterol (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,2008.0,2008,,AFR,Africa,,NGA,2008,2008,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.1 [3.5-4.7],4.10000,3.5,4.7,,,
37,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1992.0,1992,,AFR,Africa,,NGA,1992,1992,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.2],3.80000,3.4,4.2,,,
38,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1993.0,1993,,AFR,Africa,,NGA,1993,1993,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.2],3.80000,3.4,4.2,,,
39,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994.0,1994,,AFR,Africa,,NGA,1994,1994,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.2],3.80000,3.4,4.2,,,
40,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,AFR,Africa,,NGA,1995,1995,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,3.8 [3.4-4.1],3.80000,3.4,4.1,,,
41,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1993.0,1993,,AFR,Africa,,NGA,1993,1993,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.2 [3.8-4.6],4.20000,3.8,4.6,,,
42,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1994.0,1994,,AFR,Africa,,NGA,1994,1994,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.2 [3.8-4.6],4.20000,3.8,4.6,,,
43,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1995.0,1995,,AFR,Africa,,NGA,1995,1995,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.2 [3.8-4.6],4.20000,3.8,4.6,,,
44,CHOL_03,Mean Total Cholesterol (age-standardized estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2384,PUBLISHED,Published,,1996.0,1996,,AFR,Africa,,NGA,1996,1996,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,4.2 [3.8-4.6],4.20000,3.8,4.6,,,
45,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983.0,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.3-5.9],5.10000,4.3,5.9,,,
46,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984.0,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.3-5.9],5.10000,4.3,5.9,,,
47,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985.0,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.1 [4.4-5.8],5.10000,4.4,5.8,,,
48,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1986.0,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.5-5.8],5.20000,4.5,5.8,,,
49,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1987.0,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.2 [4.6-5.8],5.20000,4.6,5.8,,,
50,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.0-5.9],5.50000,5.0,5.9,,,
51,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [5.0-6.0],5.50000,5.0,6.0,,,
52,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [4.9-6.0],5.50000,4.9,6.0,,,
53,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,5.5 [4.9-6.0],5.50000,4.9,6.0,,,
54,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1981.0,1981,,AFR,Africa,,NGA,1981,1981,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.1-6.0],5.10000,4.1,6.0,,,
55,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1982.0,1982,,AFR,Africa,,NGA,1982,1982,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.2-6.0],5.10000,4.2,6.0,,,
56,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1983.0,1983,,AFR,Africa,,NGA,1983,1983,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.3-5.9],5.10000,4.3,5.9,,,
57,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1984.0,1984,,AFR,Africa,,NGA,1984,1984,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.3-5.8],5.10000,4.3,5.8,,,
58,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1985.0,1985,,AFR,Africa,,NGA,1985,1985,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.4-5.8],5.10000,4.4,5.8,,,
59,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1998.0,1998,,AFR,Africa,,NGA,1998,1998,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.6-5.5],5.10000,4.6,5.5,,,
60,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,1999.0,1999,,AFR,Africa,,NGA,1999,1999,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.6-5.5],5.10000,4.6,5.5,,,
61,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2000.0,2000,,AFR,Africa,,NGA,2000,2000,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.7-5.5],5.10000,4.7,5.5,,,
62,NCD_GLUC_02,Mean fasting blood glucose (mmol/l) (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2380,PUBLISHED,Published,,2001.0,2001,,AFR,Africa,,NGA,2001,2001,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,5.1 [4.7-5.6],5.10000,4.7,5.6,,,
63,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987.0,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,129.1 [123.1-135.1],129.10000,123.1,135.1,,,
64,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988.0,1988,,AFR,Africa,,NGA,1988,1988,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,128.8 [122.8-134.7],128.80000,122.8,134.7,,,
65,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989.0,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,128.5 [122.6-134.4],128.50000,122.6,134.4,,,
66,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1990.0,1990,,AFR,Africa,,NGA,1990,1990,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,128.3 [122.4-134.2],128.30000,122.4,134.2,,,
67,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1991.0,1991,,AFR,Africa,,NGA,1991,1991,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,128.2 [122.4-134.0],128.20000,122.4,134.0,,,
68,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,129.5 [124.7-134.3],129.50000,124.7,134.3,,,
69,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,129.9 [125.0-134.8],129.90000,125.0,134.8,,,
70,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2006.0,2006,,AFR,Africa,,NGA,2006,2006,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,130.3 [125.2-135.4],130.30000,125.2,135.4,,,
71,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2007.0,2007,,AFR,Africa,,NGA,2007,2007,Nigeria,,AGE25-PLUS,25+ years,,MLE,Male,,,,,130.6 [125.3-135.9],130.60000,125.3,135.9,,,
72,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1986.0,1986,,AFR,Africa,,NGA,1986,1986,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,128.9 [122.1-135.6],128.90000,122.1,135.6,,,
73,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1987.0,1987,,AFR,Africa,,NGA,1987,1987,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.0 [122.4-135.4],129.00000,122.4,135.4,,,
74,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1988.0,1988,,AFR,Africa,,NGA,1988,1988,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.2 [122.8-135.5],129.20000,122.8,135.5,,,
75,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,1989.0,1989,,AFR,Africa,,NGA,1989,1989,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,129.4 [123.3-135.5],129.40000,123.3,135.5,,,
76,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2002.0,2002,,AFR,Africa,,NGA,2002,2002,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,131.8 [126.6-136.9],131.80000,126.6,136.9,,,
77,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2003.0,2003,,AFR,Africa,,NGA,2003,2003,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,131.9 [126.8-137.1],131.90000,126.8,137.1,,,
78,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2004.0,2004,,AFR,Africa,,NGA,2004,2004,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,132.1 [127.0-137.2],132.10000,127.0,137.2,,,
79,BP_05,Mean systolic blood pressure (crude estimate),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2387,PUBLISHED,Published,,2005.0,2005,,AFR,Africa,,NGA,2005,2005,Nigeria,,AGE25-PLUS,25+ years,,FMLE,Female,,,,,132.3 [127.2-137.3],132.30000,127.2,137.3,,,
