index,GHO (CODE),GHO (DISPLAY),GHO (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),REGION (DISPLAY),REGION (URL),COUNTRY (CODE),STARTYEAR,ENDYEAR,COUNTRY (DISPLAY),COUNTRY (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2014,2014,,AFR,Africa,,NGA,2014,2014,Nigeria,,,,,57,57.00000,,,,,
11,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,67,67.00000,,,,,
12,UHC_IHR,Compliance with international health regulations,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4824,PUBLISHED,Published,,2016,2016,,AFR,Africa,,NGA,2016,2016,Nigeria,,,,,64,64.00000,,,,,
13,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,38,0.38280,,,,,
14,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,35,0.34683,,,,,
15,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,78,0.78083,,,,,
16,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,30,0.30130,,,,,
17,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2015,2015,,AFR,Africa,,NGA,2015,2015,Nigeria,,,,,42,0.42040,,,,,
18,UHC_SCI_RMNCH,"UHC SCI components: Reproductive, maternal, newborn and child health",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,,,,40,0.40156,,,,,
19,UHC_SCI_INFECT,UHC SCI components:  Infectious diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,,,,37,0.36594,,,,,
20,UHC_SCI_NCD,UHC SCI components: Noncommunicable diseases,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,,,,78,0.78197,,,,,
21,UHC_SCI_CAPACITY,UHC SCI components: Service capacity and access,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,,,,27,0.27411,,,,,
22,UHC_INDEX_REPORTED,UHC index of service coverage (SCI),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4834,PUBLISHED,Published,,2017,2017,,AFR,Africa,,NGA,2017,2017,Nigeria,,,,,42,0.42128,,,,,
23,UHC_AVAILABILITY_SCORE,Data availability for UHC index of service coverage,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4833,PUBLISHED,Published,,2013-2017,2013-2017,,AFR,Africa,,NGA,2013,2017,Nigeria,,,,,49,0.48571,,,,,
24,UHC_DATA_AVAIL_CODE,Data availability for UHC index of service coverage (ranking),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4832,PUBLISHED,Published,,2013-2017,2013-2017,,AFR,Africa,,NGA,2013,2017,Nigeria,,,,,high,,,,,,
