index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),GHECAUSES (CODE),GHECAUSES (DISPLAY),GHECAUSES (URL),INADEQUACY (CODE),INADEQUACY (DISPLAY),INADEQUACY (URL),ENVCAUSE (CODE),ENVCAUSE (DISPLAY),ENVCAUSE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,AIR_50,"Ambient air pollution attributable deaths (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,,,,,,,,,,,,,,,,44,44.22512,,,,,
11,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,,,,4400,4400.11816,,,,,
12,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,GHE114,Stroke,,,,,,,,229 276,229276.31250,,,,,
13,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,GHE068,"Trachea, bronchus, lung cancers",,,,,,,,4587,4587.38281,,,,,
14,AIR_43,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2012.0,2012,,AFR,2012,2012,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,GHE000,All Causes,,,,,,,,2 822 073 [2 250 524 - 3 466 303],2822072.75000,2250524.0,3466303.0,,,
15,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE114,Stroke,,19782 [17058–22904],19781.93088,17057.54883,22904.34375,,,
16,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,257 [210–296],256.67002,210.26851,295.52069,,,
17,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,17050 [14865–19326],17049.95802,14864.73535,19326.05078,,,
18,AIR_11,Household air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,3757 [1094–5765],3757.24594,1093.53919,5764.60986,,,
19,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,17 [15–20],17.41905,15.35054,19.81594,,,
20,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE000,Total,,117 [98–132],117.40542,98.4622,132.11595,,,
21,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,0 [0–0],0.27971,0.22914,0.32205,,,
22,AIR_51,Household air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE000,Total,,122 [103–136],121.51035,102.83361,136.12558,,,
23,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,16 [11–20],16.16746,11.02682,20.27691,,,
24,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,1 [0–1],0.59902,0.49073,0.68969,,,
25,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE000,Total,,234 [198–262],233.65738,197.74309,261.76163,,,
26,AIR_52,"Household air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,48 [42–55],48.46470,42.16593,55.43399,,,
27,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,9081 [7439–10455],9080.60681,7438.98926,10455.08594,,,
28,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE104,Cataracts,,41965 [27383–52568],41964.81622,27382.73633,52568.1875,,,
29,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE114,Stroke,,603917 [525109–689751],603917.40230,525109.0,689750.9375,,,
30,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,174068 [128504–206533],174068.33590,128503.5313,206533.4063,,,
31,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,8 [6–9],7.69743,5.77246,9.38231,,,
32,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,9 [7–10],8.78202,7.11949,10.25179,,,
33,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE114,Stroke,,269 [229–314],269.38727,228.76695,314.1835,,,
34,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,123485 [35940–189458],123484.67720,35939.97656,189458.1719,,,
35,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,5392 [4191–6282],5392.34277,4190.74072,6281.73193,,,
36,AIR_15,Household air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE000,Total,,5835604 [4768029–6624837],5835604.38700,4768028.5,6624837.0,,,
37,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE000,Total,,6387 [5164–7282],6387.25684,5164.15088,7281.88672,,,
38,AIR_17,Household air pollution attributable DALYs (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,5251 [4092–6096],5251.29541,4091.53418,6095.87793,,,
39,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,4780 [3680–5594],4779.83691,3680.24927,5594.35254,,,
40,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,4683 [3640–5456],4683.24219,3639.65259,5455.67529,,,
41,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,1136 [996–1287],1135.99988,995.81793,1287.38818,,,
42,AIR_39,"Household air pollution attributable DALYs (per 100 000, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4491,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,18 [15–21],18.08840,14.81833,20.82634,,,
43,AIR_4,Ambient air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,21995 [17336–26825],21994.57813,17335.66602,26825.05273,,,
44,AIR_12,Household air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,41210 [31900–48127],41209.82813,31900.14844,48126.79688,,,
45,AIR_12,Household air pollution attributable deaths in children under 5 years,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2256,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,35296 [27322–41220],35295.52344,27321.94141,41219.78906,,,
46,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,231 [153–309],230.79441,153.27403,309.19699,,,
47,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE114,Stroke,,7236 [6118–8446],7235.65778,6117.58789,8445.83008,,,
48,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,51082 [40262–62301],51082.46143,40262.125,62301.25,,,
49,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE114,Stroke,,5516 [4705–6394],5515.51895,4705.31787,6393.95557,,,
50,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,23449 [19695–27352],23449.40633,19695.47852,27351.75,,,
51,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,0 [0–0],0.26815,0.17808,0.35924,,,
52,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,0 [0–0],0.12300,0.08168,0.16478,,,
53,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE113,Ischaemic heart disease,,13 [11–15],12.78768,10.56723,15.01991,,,
54,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,0 [0–0],0.30462,0.2023,0.4081,,,
55,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,82 [64–100],81.75142,64.43475,99.70575,,,
56,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE114,Stroke,,8 [7–9],7.88517,6.66673,9.20397,,,
57,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,10 [6–15],10.38572,6.37684,14.7616,,,
58,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,6019 [3695–8554],6018.58527,3695.41577,8554.42871,,,
59,AIR_42,"Ambient air pollution attributable death rate (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE000,Total,,147 [126–171],147.35385,125.70504,170.99026,,,
60,AIR_41,Ambient air pollution attributable deaths,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,2652 [1628–3769],2652.05691,1628.36487,3769.46216,,,
61,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,3 [2–5],3.23598,1.98689,4.59941,,,
62,AIR_5,Ambient air pollution attributable death rate (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,3 [2–4],2.81455,1.72813,4.00042,,,
63,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,3303363 [2603641–4028851],3303362.98200,2603641.25,4028851.0,,,
64,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE104,Cataracts,,0 [0–0],0.00000,0.0,0.0,,,
65,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,BTSX,Both sexes,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,7978 [5298–10688],7977.88700,5298.23438,10688.03516,,,
66,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE068,"Trachea, bronchus, lung cancers",,8 [5–11],8.09721,5.37748,10.84789,,,
67,AIR_9,Ambient air pollution attributable DALYs  (per 100 000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE039,Lower respiratory infections,,3506 [2763–4276],3505.75879,2763.16553,4275.69727,,,
68,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,MLE,Male,,,,,,,,,,,ENVCAUSE118,Chronic obstructive pulmonary disease,,87162 [53517–123886],87161.81665,53517.41797,123886.1719,,,
69,AIR_90,"Ambient air pollution attributable DALYs  (per 100 000 population, age-standardized)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE104,Cataracts,,0 [0–0],0.00000,0.0,0.0,,,
70,AIR_7,Ambient air pollution attributable DALYs,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/2259,,,,PUBLISHED,Published,,2016.0,2016,,AFR,2016,2016,Africa,,,,,NGA,Nigeria,,,,,FMLE,Female,,,,,,,,,,,ENVCAUSE000,Total,,3606093 [2993497–4277395],3606093.48400,2993497.25,4277395.0,,,
