index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),AGEGROUP (CODE),AGEGROUP (DISPLAY),AGEGROUP (URL),EDUCATIONLEVEL (CODE),EDUCATIONLEVEL (DISPLAY),EDUCATIONLEVEL (URL),SEX (CODE),SEX (DISPLAY),SEX (URL),RESIDENCEAREATYPE (CODE),RESIDENCEAREATYPE (DISPLAY),RESIDENCEAREATYPE (URL),WEALTHQUINTILE (CODE),WEALTHQUINTILE (DISPLAY),WEALTHQUINTILE (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
10,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,FMLE,Female,,,,,WQ5,Q5 (Richest),,6.0,0.06000,,,,,
11,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,1950.0,1950,,AFR,1950,1950,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,7.8,7.80000,,,,,
12,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2000.0,2000,,AFR,2000,2000,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,34.8,34.84000,,,,,
13,EQ_URBPOP,Population living in urban areas (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4455,,,,PUBLISHED,Published,,2020.0,2020,,AFR,2020,2020,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,51.7,51.72800,,,,,
14,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,166.7,166.70000,,,,,
15,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,125.4,125.40000,,,,,
16,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,193.0,193.00000,,,,,
17,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,209.0,209.00000,,,,,
18,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,102.0,102.00000,,,,,
19,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,188.0,188.00000,,,,,
20,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,157.5,157.50000,,,,,
21,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,109.0,109.00000,,,,,
22,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,152.6,152.60000,,,,,
23,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,137.8,137.80000,,,,,
24,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,73.0,73.00000,,,,,
25,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,139.0,139.00000,,,,,
26,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,67.8,67.80000,,,,,
27,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,117.8,117.80000,,,,,
28,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,49.5,49.50000,,,,,
29,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,103.0,103.00000,,,,,
30,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,150.0,150.00000,,,,,
31,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,80.8,80.80000,,,,,
32,EQ_ADOBIRTH,"Adolescent birth rate (births per 1,000 women aged 15 to 19)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4709,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,181.1,181.10000,,,,,
33,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,EDLVL06TO11YR,6-11 years,,,,,,,,,,,88.8,88.80000,,,,,
34,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,66.5,66.50000,,,,,
35,EQ_SLEPTNETS,Women that slept under a bednet last night (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4435,,,,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,FMLE,Female,,RUR,Rural,,,,,11.0,0.11000,,,,,
36,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,181.9,181.90000,,,,,
37,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,78.3,78.30000,,,,,
38,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,76.0,76.00000,,,,,
39,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,EDLVL00TO05YR,0-5 years,,,,,,,,,,,51.1,51.10000,,,,,
40,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,93.5,93.50000,,,,,
41,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,61.3,61.30000,,,,,
42,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,EDLVL00TO05YR,0-5 years,,,,,,,,,,,41.4,41.40000,,,,,
43,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,89.0,89.00000,,,,,
44,EQ_U5MORT,Under-five mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4717,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,150.0,150.00000,,,,,
45,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,100.0,100.00000,,,,,
46,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,109.0,109.00000,,,,,
47,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,88.0,88.00000,,,,,
48,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,93.0,93.00000,,,,,
49,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,61.0,61.00000,,,,,
50,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,82.0,82.00000,,,,,
51,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,65.0,65.00000,,,,,
52,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,111.6,111.60000,,,,,
53,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,52.7,52.70000,,,,,
54,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,85.1,85.10000,,,,,
55,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,63.0,63.00000,,,,,
56,EQ_INFANTMORT,Infant mortality per 1 000 live births,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4716,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2013.0,2013,,AFR,2013,2013,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,45.0,45.00000,,,,,
57,EQ_DTP3,Coverage of DTP3 immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4432,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,32.9,32.90000,,,,,
58,EQ_DTP3,Coverage of DTP3 immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4432,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,EDLVL12PLUSYR,12+ years,,,,,,,,,,,86.7,86.70000,,,,,
59,EQ_DTP3,Coverage of DTP3 immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4432,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,50.8,50.80000,,,,,
60,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,RUR,Rural,,,,,36.2,36.20000,,,,,
61,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2011.0,2011,,AFR,2011,2011,Africa,,NGA,Nigeria,,,,,EDLVL12PLUSYR,12+ years,,,,,,,,,,,97.4,97.40000,,,,,
62,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,EDLVL06TO11YR,6-11 years,,,,,,,,,,,83.8,83.80000,,,,,
63,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ4,Q4,,86.0,86.00000,,,,,
64,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,,,,45.8,45.80000,,,,,
65,EQ_ANC,Coverage of antenatal care (4 visits),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4434,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2008.0,2008,,AFR,2008,2008,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ2,Q2,,62.4,62.40000,,,,,
66,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,82.8,82.80000,,,,,
67,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,59.4,59.40000,,,,,
68,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,28.6,28.60000,,,,,
69,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,64.9,64.90000,,,,,
70,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,EDLVL00TO05YR,0-5 years,,,,,,,,,,,53.5,53.50000,,,,,
71,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,1990.0,1990,,AFR,1990,1990,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,78.9,78.90000,,,,,
72,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,URB,Urban,,,,,56.6,56.60000,,,,,
73,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,34.4,34.40000,,,,,
74,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,47.9,47.90000,,,,,
75,EQ_MEAIMM,Coverage of measles immunization,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4433,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ5,Q5 (Richest),,80.2,80.20000,,,,,
76,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_DHS,DHS,http://dhsprogram.com/,PUBLISHED,Published,,2003.0,2003,,AFR,2003,2003,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ3,Q3,,42.9,42.90000,,,,,
77,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,EDLVL06TO11YR,6-11 years,,,,,,,,,,,84.4,84.40000,,,,,
78,EQ_SBA,Coverage of skilled birth attendance,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4714,EQ_MICS,MICS,http://mics.unicef.org/,PUBLISHED,Published,,2007.0,2007,,AFR,2007,2007,Africa,,NGA,Nigeria,,,,,,,,,,,,,,WQ1,Q1 (Poorest),,37.7,37.70000,,,,,
