index,GHO (CODE),GHO (DISPLAY),GHO (URL),DATASOURCE (CODE),DATASOURCE (DISPLAY),DATASOURCE (URL),PUBLISHSTATE (CODE),PUBLISHSTATE (DISPLAY),PUBLISHSTATE (URL),YEAR (CODE),YEAR (DISPLAY),YEAR (URL),REGION (CODE),STARTYEAR,ENDYEAR,REGION (DISPLAY),REGION (URL),WORLDBANKINCOMEGROUP (CODE),WORLDBANKINCOMEGROUP (DISPLAY),WORLDBANKINCOMEGROUP (URL),COUNTRY (CODE),COUNTRY (DISPLAY),COUNTRY (URL),Display Value,Numeric,Low,High,StdErr,StdDev,Comments
20,HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,4088,4088.00000,,,,,"Includes DENTAL TECHNOLOGISTS, DENTAL THERAPISTS , DENTISTS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
21,HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,2241,2241.00000,,,,,"Includes Dentists</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
22,HRH_21,Number of dentistry personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,2113,2113.00000,,,,,"Includes Dentists</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
23,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,0.281,0.28100,,,,,"Includes Physicians</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
24,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,0.263,0.26300,,,,,Includes Physician</br> Data Source: Medical and Dental Council of Nigeria
25,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,0.376,0.37600,,,,,"Includes DOCTORS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
26,HRH_26,Physicians density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/112,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,NGA,Nigeria,,0.376,0.37600,,,,,"Includes Registered Medical Practitioners</br> Data Source: Federal Ministry of Health, Abuja/ Nursing and Midwifery Council of Nigeria, Lagos"
27,HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,NGA,Nigeria,,0.016,0.01600,,,,,"Includes Registered Dental Practitioners</br> Data Source: Federal Ministry of Health, Abuja/ Nursing and Midwifery Council of Nigeria, Lagos"
28,HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,0.016,0.01600,,,,,"Includes Dentists</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
29,HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,0.015,0.01500,,,,,"Includes Dentists</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
30,HRH_28,Dentistry personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/87,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,0.019,0.01900,,,,,Includes Dentist</br> Data Source: Medical and Dental Council of Nigeria
31,HRH_27,Laboratory health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4549,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,NGA,Nigeria,,0.006,0.00600,,,,,"Includes Radiographers</br> Data Source: Federal Ministry of Health, Abuja/ Nursing and Midwifery Council of Nigeria, Lagos"
32,HRH_27,Laboratory health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4549,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,0.005,0.00500,,,,,Includes Radiographer</br> Data Source: Radigraphers Registration Board of Nigeria
33,HRH_27,Laboratory health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4549,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,0.17,0.17000,,,,,"Includes CHARTERED CHEMISTS , MEDICAL LABORATORY ASSISTANTS, MEDICAL LABORATORY SCIENTISTS, MEDICAL. LABORATORY TECHNICIANS, RADIO-GRAPHERS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
34,HRH_27,Laboratory health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4549,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,0.005,0.00500,,,,,"Includes Radiographers</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
35,HRH_31,Environmental and public health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/322,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,0.029,0.02900,,,,,"Includes ENVIRONMENTAL HEALTH OFFICERS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
36,HRH_32,Health management & support workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/4550,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,0.003,0.00300,,,,,
37,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,305.14,305.14000,,,,,
38,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,588.06,588.06000,,,,,
39,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,801.28,801.28000,,,,,
40,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,876.34,876.34000,,,,,
41,ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2000,2000,,AFR,2000,2000,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,30.28,30.28000,,,,,
42,ODA_4,"Disbursements to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3252,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,97.16,97.16000,,,,,
43,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,20785,20785.00000,,,,,
44,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,49,49.00000,,,,,
45,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,2943,2943.00000,,,,,
46,HRH_09,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,1473,1473.00000,,,,,
47,HRH_08,Number of radiographers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,483,483.00000,,,,,
48,HRH_01,Number of nursing personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,127580,127580.00000,,,,,
49,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,34923,34923.00000,,,,,Includes Physician</br> Data Source: Medical and Dental Council of Nigeria
50,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,55376,55376.00000,,,,,"Includes DOCTORS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
51,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,49612,49612.00000,,,,,"Includes Physicians</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
52,HRH_02,Number of physicians,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/104,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,39210,39210.00000,,,,,"Includes Physicians</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
53,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,92531,92531.00000,,,,,
54,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,90489,90489.00000,,,,,
55,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,88996,88996.00000,,,,,
56,HRH_03,Number of midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,88796,88796.00000,,,,,
57,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,2482,2482.00000,,,,,
58,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,2571,2571.00000,,,,,
59,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,NGA,Nigeria,,2464,2464.00000,,,,,
60,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,2571,2571.00000,,,,,
61,HRH_15,Number of dentists,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/101,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,2241,2241.00000,,,,,
62,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,18682,18682.00000,,,,,"Includes Pharmacy Technician, Pharmacists</br> Data Source: DRH/Ministry of Health - HEALTH WORKFORCE DATA, Update Nov 2008"
63,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,18682,18682.00000,,,,,"Includes PHARM. TECH, PHARMACISTS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
64,HRH_19,Number of pharmaceutical personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/319,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,NGA,Nigeria,,17022,17022.00000,,,,,"Includes Pharmacists licensed/registered, Pharmacy technicians/assistants</br> Data Source: Pharmacists Council of Nigeria (PCN)"
65,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,214288,214288.00000,,,,,"Includes Prof/Registered Nurses, Registered Midwives</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
66,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,224943,224943.00000,,,,,"Includes Enrolled Midwives, Enrolled Nurses, Registered Midwives, Professional/Registered Nurses</br> Data Source: DRH/Ministry of Health - HEALTH WORKFORCE DATA, Update Nov 2008"
67,HRH_24,Number of nursing and midwifery personnel,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/102,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,213425,213425.00000,,,,,"Includes Prof/Registered Nurses, Registered Midwives</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
68,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,1.489,1.48900,,,,,"Includes Enrolled Midwives, Enrolled Nurses, Registered Midwives, Professional/Registered Nurses</br> Data Source: DRH/Ministry of Health - HEALTH WORKFORCE DATA, Update Nov 2008"
69,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,1.495,1.49500,,,,,"Includes Prof/Registered Nurses, Registered Midwives</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
70,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,1.529,1.52900,,,,,"Includes Prof/Registered Nurses, Registered Midwives</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
71,HRH_33,Nursing and midwifery personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/105,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,,,,NGA,Nigeria,,1.586,1.58600,,,,,"Includes Registered nurse, Registered midwife</br> Data Source: Nursing and Midwifery Council of Nigeria"
72,HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,0.086,0.08600,,,,,"Includes Pharmacists</br> Data Source: National Professional medical/health regulatory bodies 2005, 2006, 2007"
73,HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,0.124,0.12400,,,,,"Includes Pharmacy Technician, Pharmacists</br> Data Source: DRH/Ministry of Health - HEALTH WORKFORCE DATA, Update Nov 2008"
74,HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,0.127,0.12700,,,,,"Includes PHARM. TECH, PHARMACISTS</br> Data Source: Health Workforce country Profile for Nigeria, October 2008"
75,HRH_25,Pharmaceutical personnel density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/320,,,,PUBLISHED,Published,,2011,2011,,AFR,2011,2011,Africa,,,,,NGA,Nigeria,,0.104,0.10400,,,,,"Includes Pharmacists licensed/registered, Pharmacy technicians/assistants</br> Data Source: Pharmacists Council of Nigeria (PCN)"
76,HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2004,2004,,AFR,2004,2004,Africa,,,,,NGA,Nigeria,,1220,1220.00000,,,,,
77,HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2005,2005,,AFR,2005,2005,Africa,,,,,NGA,Nigeria,,21605,21605.00000,,,,,
78,HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2006,2006,,AFR,2006,2006,Africa,,,,,NGA,Nigeria,,984,984.00000,,,,,
79,HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2007,2007,,AFR,2007,2007,Africa,,,,,NGA,Nigeria,,4130,4130.00000,,,,,
80,HRH_23,Number of other health workers,https://www.who.int/data/gho/indicator-metadata-registry/imr-details/103,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,1473,1473.00000,,,,,
81,HRH_30,Other health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/106,,,,PUBLISHED,Published,,2008,2008,,AFR,2008,2008,Africa,,,,,NGA,Nigeria,,0.01,0.01000,,,,,
82,HRH_30,Other health workers density (per 1000 population),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/106,,,,PUBLISHED,Published,,2009,2009,,AFR,2009,2009,Africa,,,,,NGA,Nigeria,,0.047,0.04700,,,,,
83,WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1985-1990,1985-1990,,AFR,1985,1990,Africa,,,,,NGA,Nigeria,,52,52.00000,,,,,"DHS 1990.Federal Office of Statistics [Nigeria], Institute for Resource Development (IRD)/Macro International. Nigeria Demographic and Health Survey 1990. Columbia, Maryland, USA: Federal Office of Statistics [Nigeria], IRD/Macro International; 1992."
84,WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1996-1999,1996-1999,,AFR,1996,1999,Africa,,,,,NGA,Nigeria,,47.3,47.30000,,,,,"DHS 1999.National Population Commission [Nigeria]. Nigeria Demographic and Health Survey 1999. Calverton, Maryland: National Population Commission [Nigeria], ORC/Macro; 2000."
85,WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,1998-2003,1998-2003,,AFR,1998,2003,Africa,,,,,NGA,Nigeria,,47.4,47.40000,,,,,"DHS 2003.National Population Commission (NPC) [Nigeria], ORC Macro. Nigeria Demographic and Health Survey 2003. Calverton, Maryland: National Population Commission, ORC Macro; 2004."
86,WHS4_154,Antenatal care coverage - at least four visits (%),https://www.who.int/data/gho/indicator-metadata-registry/imr-details/80,,,,PUBLISHED,Published,,2003-2008,2003-2008,,AFR,2003,2008,Africa,,,,,NGA,Nigeria,,44.8,44.80000,,,,,"DHS 2008.  National Population Commission (NPC) [Nigeria], ICF Macro. Nigeria Demographic and Health Survey 2008. Abuja, Nigeria: NPC [Nigeria], ICF Macro; 2009."
87,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2001,2001,,AFR,2001,2001,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,321.28,321.28000,,,,,
88,ODA_2,"Commitments to recipient countries (Million, constant 2009 US$)",https://www.who.int/data/gho/indicator-metadata-registry/imr-details/3253,,,,PUBLISHED,Published,,2003,2003,,AFR,2003,2003,Africa,,WB_LMI,Lower-middle-income,,NGA,Nigeria,,309.79,309.79000,,,,,
